,name,github_id,category,npm_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads,new_addition
0,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,MIT,2015-12-29 19:54:20,2023-05-10 20:43:49,2023-04-23 13:51:31,1474,65.0,4555,219,1140,30,3415,14038,2023-04-23 13:51:39,1.7.1,100.0,React Native Mapview component for iOS + Android.,152517.0,152517.0,478,https://www.npmjs.com/package/react-native-maps,758962.0,758962.0,43,True,1,,,
1,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,MIT,2016-10-19 05:56:53,2023-05-18 15:24:29,2023-05-15 14:53:24,1915,105.0,1887,115,1727,66,2029,10735,2023-05-15 14:55:23,5.8.0,100.0,Material Design for React Native (Android & iOS).,120239.0,120239.0,297,https://www.npmjs.com/package/react-native-paper,591712.0,591712.0,42,True,1,,,
2,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,,2017-01-26 19:51:40,2023-05-18 14:28:06,2023-03-24 08:50:45,2627,12.0,4687,327,1673,619,8435,22431,2023-03-01 14:55:05,react-native-drawer-layout@3.2.0,100.0,Routing and navigation for your React Native apps.,209152.0,209152.0,252,https://www.npmjs.com/package/@react-navigation/native,3102070.0,3102070.0,40,True,1,-1.0,,
3,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,MIT,2016-08-15 17:14:25,2023-05-18 17:51:14,2023-05-18 17:11:09,18138,666.0,3915,269,10851,263,10920,20492,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",674128.0,674128.0,1103,,,,40,True,1,,,
4,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,MIT,2015-11-14 15:45:34,2023-05-08 02:34:14,2023-05-05 08:29:45,1366,36.0,3219,194,848,101,1442,12438,2023-05-05 08:31:30,2.1.0,64.0,The most complete chat UI for React Native.,22865.0,22865.0,211,https://www.npmjs.com/package/react-native-gifted-chat,140523.0,140523.0,40,True,1,,12.0,
5,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,MIT,2016-09-08 14:21:41,2023-05-11 14:13:57,2023-04-23 20:27:57,2389,4.0,4412,377,1609,63,1980,23628,2022-12-23 20:15:46,3.4.3,84.0,Cross-Platform React Native UI Toolkit.,8724.0,8724.0,394,https://www.npmjs.com/package/react-native-elements,397193.0,397193.0,38,True,1,,,
6,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,MIT,2015-05-15 16:38:57,2023-05-12 10:37:02,2022-12-19 12:47:02,584,,2026,212,345,376,778,16637,2022-06-24 20:26:52,9.2.0-1,64.0,Customizable Icons for React Native with support for image source and full styling.,447703.0,447703.0,125,https://www.npmjs.com/package/react-native-vector-icons,1509413.0,1509413.0,38,True,1,,,
7,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,Apache-2.0,2017-01-27 18:24:50,2023-05-17 04:13:34,2023-05-15 10:12:05,714,7.0,1685,237,299,25,687,15850,2023-05-14 18:09:46,5.1.6,21.0,Lottie wrapper for React Native.,100951.0,100951.0,132,https://www.npmjs.com/package/lottie-react-native,1184572.0,1184572.0,38,True,1,,,
8,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,,2015-07-02 22:36:50,2023-05-11 16:29:34,2023-05-11 16:29:30,8429,5.0,480,133,770,240,1491,10308,2022-08-04 17:11:19,36.6.0,95.0,A collection of composable React components for building interactive data visualizations.,19159.0,19159.0,219,https://www.npmjs.com/package/victory-native,280518.0,280518.0,35,True,1,,,True
9,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,MIT,2017-02-08 09:55:18,2023-05-18 13:46:55,2023-05-18 13:46:54,3826,70.0,639,330,1917,50,514,5393,2023-04-13 09:02:38,7.3.0,100.0,UI Components Library for React Native.,2941.0,2941.0,135,https://www.npmjs.com/package/react-native-ui-lib,79052.0,79052.0,35,True,2,,,
10,NativeBase,GeekyAnts/NativeBase,ui-frameworks,native-base,https://github.com/GeekyAnts/NativeBase,https://github.com/GeekyAnts/NativeBase,MIT,2016-04-15 11:37:23,2023-05-11 19:34:25,2023-03-06 08:05:15,6322,21.0,2250,271,2250,233,3155,19334,2023-03-06 09:32:54,3.4.28,100.0,"Mobile-first, accessible components for React Native & Web to build consistent UI across Android, iOS and Web.",,,299,https://www.npmjs.com/package/native-base,354480.0,354480.0,33,True,2,,,
11,UI Kitten,akveo/react-native-ui-kitten,ui-frameworks,react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,MIT,2016-12-20 08:22:38,2023-05-15 09:28:04,2023-05-04 21:28:52,837,16.0,893,125,565,133,987,9637,2023-04-26 16:36:36,5.3.1,31.0,React Native UI Library based on Eva Design System Dark Mode.,5859.0,5859.0,62,https://www.npmjs.com/package/react-native-ui-kitten,1173.0,1173.0,32,True,3,,,
12,react-native-svg-charts,JesperLekland/react-native-svg-charts,chart-components,react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,MIT,2017-10-30 09:28:29,2023-05-17 10:28:38,2020-04-14 18:49:24,386,,345,15,151,174,275,2234,2019-07-06 17:27:57,5.3.0,24.0,One library to rule all charts for React Native.,6237.0,6237.0,39,https://www.npmjs.com/package/react-native-svg-charts,131151.0,131151.0,30,True,1,1.0,,
13,Ignite,infinitered/ignite,app-frameworks,,https://github.com/infinitered/ignite,https://github.com/infinitered/ignite,MIT,2016-02-10 16:06:07,2023-05-15 16:42:59,2023-05-15 15:56:06,2423,26.0,1231,240,1017,30,1223,15293,2023-05-15 15:56:15,8.8.1,100.0,"Infinite Reds battle-tested React Native project boilerplate, along with a CLI, component/model generators, and more!.",,,194,,,,28,True,3,,,
14,Shoutem UI,shoutem/ui,ui-frameworks,@shoutem/ui,https://github.com/shoutem/ui,https://github.com/shoutem/ui,,2016-08-08 15:26:08,2023-03-31 08:34:38,2023-03-31 08:34:37,1231,2.0,435,94,464,101,215,4806,2023-01-10 14:17:30,6.1.2,84.0,Customizable set of components for React Native applications.,1397.0,1397.0,55,https://www.npmjs.com/package/@shoutem/ui,1521.0,1521.0,27,True,3,,34.0,
15,react-native-chart-kit,indiespirit/react-native-chart-kit,chart-components,react-native-chart-kit,https://github.com/indiespirit/react-native-chart-kit,https://github.com/indiespirit/react-native-chart-kit,MIT,2017-12-20 02:30:08,2023-03-27 07:23:53,2022-02-08 04:03:57,336,,579,14,173,365,148,2492,,,,"React Native Chart Kit: Line Chart, Bezier Line Chart, Progress Ring, Bar chart, Pie chart, Contribution graph..",12214.0,12214.0,102,https://www.npmjs.com/package/react-native-chart-kit,114019.0,114019.0,27,True,2,,,
16,react-native-charts-wrapper,wuxudong/react-native-charts-wrapper,chart-components,react-native-charts-wrapper,https://github.com/wuxudong/react-native-charts-wrapper,https://github.com/wuxudong/react-native-charts-wrapper,,2017-03-03 07:58:57,2023-04-25 01:57:03,2023-04-25 01:56:55,332,2.0,591,50,112,169,669,2303,2022-10-15 10:15:27,0.5.11,34.0,a react native charts wrapper (support android & iOS).,1166.0,1166.0,55,https://www.npmjs.com/package/react-native-charts-wrapper,78728.0,78728.0,27,True,2,,,
17,RNMK,xinthink/react-native-material-kit,ui-frameworks,react-native-material-kit,https://github.com/xinthink/react-native-material-kit,https://github.com/xinthink/react-native-material-kit,MIT,2015-07-01 12:33:24,2023-01-04 06:15:00,2020-03-08 04:28:42,496,,564,100,163,150,156,4842,2016-12-18 05:14:29,0.3.4,15.0,Bringing Material Design to React Native.,1530.0,1530.0,76,https://www.npmjs.com/package/react-native-material-kit,813.0,813.0,26,True,3,,,
18,React Native Material UI,xotahal/react-native-material-ui,ui-frameworks,react-native-material-ui,https://github.com/xotahal/react-native-material-ui,https://github.com/xotahal/react-native-material-ui,MIT,2016-03-24 15:40:53,2023-04-19 08:31:36,2019-04-19 21:39:12,524,,603,90,205,170,144,3786,2019-04-20 05:02:31,2.0.0-alpha.1@deelop,20.0,Highly customizable material design components for React Native.,2890.0,2890.0,71,https://www.npmjs.com/package/react-native-material-ui,4949.0,4949.0,26,True,3,,,
19,Galio,galio-org/galio,ui-frameworks,galio,https://github.com/galio-org/galio,https://github.com/galio-org/galio,MIT,2018-06-17 16:14:11,2023-04-20 22:58:40,2022-03-30 11:06:58,419,,305,56,131,41,85,3019,2022-03-30 11:08:29,0.8.1,11.0,"Galio is a beautifully designed, Free and Open Source React Native Framework.",2586.0,2586.0,37,https://www.npmjs.com/package/galio,,,24,True,3,,,
20,Teaset,rilyu/teaset,ui-frameworks,teaset,https://github.com/rilyu/teaset,https://github.com/rilyu/teaset,MIT,2016-12-07 03:48:10,2021-05-29 08:52:27,2020-10-23 07:45:44,144,,469,71,29,188,245,2906,2020-04-01 09:07:17,0.7.4,20.0,"A UI library for react native, provides 20+ pure JS(ES6) components, focusing on content display and action control.",718.0,718.0,13,https://www.npmjs.com/package/teaset,477.0,477.0,23,True,3,,,
21,react-native-graph,margelo/react-native-graph,chart-components,react-native-graph,https://github.com/margelo/react-native-graph,https://github.com/margelo/react-native-graph,MIT,2022-04-29 12:40:18,2023-05-12 10:13:31,2023-05-12 10:13:31,82,4.0,61,12,30,24,22,1436,2023-02-20 10:49:18,1.0.1,5.0,"Beautiful, high-performance Graphs and Charts for React Native.",56.0,56.0,12,https://www.npmjs.com/package/react-native-graph,2752.0,2752.0,22,True,2,,,True
22,react-native-pathjs-charts,capitalone/react-native-pathjs-charts,chart-components,react-native-pathjs-charts,https://github.com/capitalone/react-native-pathjs-charts,https://github.com/capitalone/react-native-pathjs-charts,Apache-2.0,2016-07-29 19:43:20,2018-03-01 15:28:09,2018-03-01 15:28:09,128,,252,36,74,72,87,882,2018-02-19 01:42:23,0.0.34,14.0,Android and iOS charts based on react-native-svg and paths-js.,668.0,668.0,27,https://www.npmjs.com/package/react-native-pathjs-charts,262.0,262.0,22,False,2,,,True
23,Nachos UI,nachos-ui/nachos-ui,ui-frameworks,nachos-ui,https://github.com/nachos-ui/nachos-ui,https://github.com/nachos-ui/nachos-ui,MIT,2017-01-30 14:22:09,2021-03-12 10:42:57,2018-08-15 19:47:46,58,,121,35,14,13,34,2066,,,,Nachos UI is a React Native component library.,334.0,334.0,10,https://www.npmjs.com/package/nachos-ui,1831.0,1831.0,20,True,3,,,
24,react-native-animated-charts,rainbow-me/react-native-animated-charts,chart-components,@rainbow-me/animated-charts,https://github.com/rainbow-me/react-native-animated-charts,https://github.com/rainbow-me/react-native-animated-charts,MIT,2020-09-14 19:18:48,2022-10-02 23:16:37,2021-10-25 17:08:17,19,,92,13,14,56,25,856,,,6.0,Set of components and helpers for building complex and beautifully animated charts.,643.0,643.0,5,https://www.npmjs.com/package/@rainbow-me/animated-charts,1487.0,1487.0,18,True,3,,,True
25,react-native-echarts,wuba/react-native-echarts,chart-components,@wuba/react-native-echarts,https://github.com/wuba/react-native-echarts,https://github.com/wuba/react-native-echarts,Apache-2.0,2023-01-09 06:12:24,2023-05-15 23:38:39,2023-05-15 23:38:35,67,28.0,16,22,37,8,13,334,2023-04-26 06:16:37,1.1.1,7.0,"React Native ECharts Library: An awesome charting library for React Native, built upon Apache ECharts and leveraging..",10.0,10.0,7,https://www.npmjs.com/package/@wuba/react-native-echarts,1037.0,1037.0,18,True,3,,,True
26,react-native-highcharts,TradingPal/react-native-highcharts,chart-components,react-native-highcharts,https://github.com/TradingPal/react-native-highcharts,https://github.com/TradingPal/react-native-highcharts,,2016-11-18 17:56:58,2022-03-23 08:45:14,2017-12-01 22:33:30,74,,128,8,32,59,40,254,,,,Add Highcharts charts to react-native app for IOS and Android.,262.0,262.0,5,https://www.npmjs.com/package/react-native-highcharts,539.0,539.0,15,False,3,,,True
27,Material Kit React Native,creativetimofficial/material-kit-react-native,templates,material-kit-react-native,https://github.com/creativetimofficial/material-kit-react-native,https://github.com/creativetimofficial/material-kit-react-native,MIT,2019-01-09 12:35:13,2022-07-15 17:30:35,2022-04-18 10:03:45,60,,527,18,8,2,26,541,2022-04-18 10:03:23,1.9.0,8.0,Material Kit React Native.,,,7,https://www.npmjs.com/package/material-kit-react-native,,,14,True,1,,,
28,react-native-skia-charts,vladanyes/react-native-skia-charts,chart-components,react-native-skia-charts,https://github.com/vladanyes/react-native-skia-charts,https://github.com/vladanyes/react-native-skia-charts,MIT,2022-12-28 17:49:18,2023-03-13 08:45:32,2023-03-13 08:45:20,54,18.0,5,7,4,2,4,116,,,1.0,High-performance charts for react-native.,6.0,6.0,3,https://www.npmjs.com/package/react-native-skia-charts,91.0,91.0,11,True,3,,,True
29,react-native-charts,chartiful/react-native-charts,chart-components,@chartiful/react-native-chart-builder,https://github.com/chartiful/react-native-charts,https://github.com/chartiful/react-native-charts,MIT,2020-05-27 00:31:59,2022-12-06 22:22:09,2020-10-17 07:33:31,110,,8,3,40,9,2,65,,,,SVG Charts for React Native.,175.0,175.0,2,https://www.npmjs.com/package/@chartiful/react-native-chart-builder,798.0,798.0,11,True,3,,,True
